region,ages,year,population
ND,under18,2009,148674
ND,under18,2004,149128
TN,under18,2013,1491577
MA,under18,1998,1491652
IN,under18,1994,1491802
TN,under18,2011,1491837
TN,under18,2012,1492689
MA,under18,2003,1493372
TN,under18,2008,1494354
MA,under18,1999,1495818
NV,total,1994,1499298
VT,under18,1997,150040
MA,under18,2002,1502652
ND,under18,2003,150406
ID,total,2007,1505105
WA,under18,1999,1507824
IN,under18,1995,1507916
VT,under18,1994,150794
WA,under18,2003,1514877
VT,under18,1996,151490
WA,under18,2000,1516361
WA,under18,2001,1517527
WA,under18,2002,1517655
IN,under18,1996,1517961
FL,total,1997,15186304
VA,under18,1990,1520670
WA,under18,2004,1520751
NM,total,1990,1521574
ND,under18,2011,152357
WA,under18,2005,1523890
AZ,under18,2005,1529168
ND,under18,2002,153097
WA,under18,2006,1536926
IN,under18,1997,1539270
VA,under18,1991,1548258
FL,total,1998,15486559
WA,under18,2007,1549582
IN,under18,1998,1551960
ID,total,2009,1554439
NM,total,1991,1555305
WA,under18,2008,1560302
ND,under18,2012,156765
ID,total,2010,1570718
WA,under18,2009,1574403
FL,total,1999,15759421
IN,under18,2002,1580814
WA,under18,2010,1581436
VA,under18,1992,1581544
NV,total,1995,1581578
NE,total,1990,1581660
IN,under18,2003,1582560
ID,total,2011,1583930
IN,under18,2013,1586027
IN,under18,2004,1586281
WA,under18,2012,1588451
IN,under18,2012,1589655
IN,under18,2005,1593898
ID,total,2012,1595590
NE,total,1991,1595919
IN,under18,2011,1598091
IN,under18,2006,1603107
IN,under18,2010,1605883
AZ,under18,2007,1607895
IN,under18,2009,1609704
IN,under18,2008,1611494
NE,total,1992,1611687
ID,total,2013,1612136
AZ,under18,2011,1616353
NE,total,1993,1625590
NC,under18,1990,1625804
ND,under18,2013,162688
AZ,under18,2010,1628563
VA,under18,1994,1628711
ND,under18,1999,163056
FL,total,2001,16356966
NM,total,1993,1636453
NC,under18,1991,1640394
VA,under18,1995,1649005
ND,under18,1998,165448
DE,under18,1990,165628
NE,total,1995,1656993
VA,under18,1996,1664147
NV,total,1996,1666320
FL,total,2002,16689370
NE,total,1996,1673740
NM,total,1994,1682398
NE,total,1997,1686418
ND,under18,1996,169257
DE,under18,1991,169910
NE,total,1999,1704764
VA,under18,1998,1706261
ND,under18,1990,170920
NC,under18,1993,1710267
ND,under18,1995,171146
NE,total,2000,1713820
NE,total,2001,1719836
ND,under18,1992,172052
ND,under18,1994,172160
VA,under18,1999,1723125
UT,total,1990,1731223
NE,total,2003,1738643
TX,total,1991,17398005
VA,under18,2000,1741420
FL,total,2004,17415318
DE,under18,1992,174166
GA,under18,1990,1747363
NE,total,2004,1749370
NC,under18,1994,1750754
VA,under18,2001,1754549
DE,under18,1993,176916
NE,total,2006,1772693
GA,under18,1991,1773675
NM,total,1997,1774839
AK,under18,1990,177502
UT,total,1991,1779780
VA,under18,2003,1782254
NE,total,2007,1783440
FL,total,2005,17842038
WV,total,1990,1792548
NM,total,1998,1793484
WV,total,1991,1798735
WV,total,2001,1801481
VA,under18,2004,1801958
WV,total,2002,1805414
WV,total,1992,1806451
WV,total,2000,1807021
NM,total,1999,1808082
DE,under18,1994,180833
WV,total,1999,1811799
NY,total,1991,18122510
WV,total,2003,1812295
NE,total,2009,1812683
WV,total,1998,1815609
TX,total,1993,18161612
VA,under18,2005,1816270
WV,total,2004,1816438
FL,total,2006,18166990
DE,under18,1995,181736
WV,total,1993,1817539
GA,under18,1992,1817781
WV,total,1997,1819113
WV,total,1994,1820421
WV,total,2005,1820492
NM,total,2000,1821204
NC,under18,1996,1821506
WV,total,1996,1822808
WV,total,1995,1823700
NY,total,1992,18246653
VA,under18,2006,1826368
WV,total,2006,1827912
NE,total,2010,1829838
AK,under18,2008,183124
NM,total,2001,1831690
WV,total,2007,1834052
VA,under18,2007,1834386
FL,total,2007,18367842
UT,total,1992,1836799
NY,total,1993,18374954
VA,under18,2008,1838361
DE,under18,1996,184021
WV,total,2008,1840310
NE,total,2011,1841749
VA,under18,2009,1845132
NY,total,1994,18459470
AK,under18,1992,184878
NJ,under18,1991,1849605
AK,under18,1995,184990
NY,total,1995,18524104
FL,total,2008,18527305
AK,under18,2005,185304
NV,total,1998,1853192
AK,under18,1996,185360
WV,total,2013,1854304
VA,under18,2010,1855025
WV,total,2011,1855184
NM,total,2002,1855309
AK,under18,2006,185580
TX,total,1994,18564062
VA,under18,2011,1857585
NY,total,1996,18588460
VA,under18,2012,1861323
NC,under18,1997,1861621
AK,under18,2004,186335
AK,under18,2009,186351
GA,under18,1993,1865021
FL,total,2009,18652644
NY,total,1997,18656546
DE,under18,1997,186607
AK,under18,2003,186843
NE,total,2013,1868516
AK,under18,1993,187190
AK,under18,1994,187439
NY,total,1998,18755906
NM,total,2003,1877574
AK,under18,2010,187902
AK,under18,2013,188132
AK,under18,2012,188162
AK,under18,1997,188280
AK,under18,2011,188329
FL,total,2010,18846054
AK,under18,2002,188482
AK,under18,2001,188771
NY,total,1999,18882725
DE,under18,1998,189302
NC,under18,1998,1894753
NY,total,2000,19001780
GA,under18,1994,1906539
NY,total,2001,19082838
FL,total,2011,19083482
NY,total,2006,19104631
NY,total,2007,19132335
NY,total,2005,19132610
NY,total,2002,19137800
NY,total,2008,19212436
DE,under18,1999,192510
AK,under18,1998,192636
NJ,under18,1993,1928623
NY,total,2009,19307066
FL,total,2012,19320749
NC,under18,1999,1932141
NM,total,2005,1932274
TX,total,1996,19340342
NV,total,1999,1934718
NY,total,2010,19398228
GA,under18,1995,1949818
NY,total,2011,19502728
FL,total,2013,19552860
DE,under18,2001,196038
UT,total,1994,1960446
NM,total,2006,1962137
NY,total,2013,19651127
NC,under18,2000,1967626
SD,under18,2004,196804
NJ,under18,1994,1968232
DE,under18,2002,196946
SD,under18,2003,197326
SD,under18,2006,197332
TX,total,1997,19740317
DE,under18,2003,198045
SD,under18,2002,198694
SD,under18,2007,198847
GA,under18,1996,1993171
DE,under18,2004,199631
NJ,under18,1995,1997187
NC,under18,2001,2003782
SD,under18,2001,200795
NM,total,2008,2010662
SD,under18,2009,201204
UT,total,1995,2014179
TX,total,1998,20157531
SD,under18,1991,201749
NV,total,2000,2018741
DE,under18,2005,201988
NJ,under18,2013,2022117
SD,under18,2000,202681
NJ,under18,1997,2028349
SD,under18,2010,203145
GA,under18,1997,2034163
NC,under18,2002,2034451
NJ,under18,2012,2035106
DE,under18,2013,203558
NM,total,2009,2036802
DE,under18,2006,203729
SD,under18,1999,203737
SD,under18,2011,203948
NJ,under18,1998,2042080
DE,under18,2012,204586
DE,under18,2011,204801
NJ,under18,2011,2049453
DE,under18,2007,205155
SD,under18,2012,205298
TX,total,1999,20558220
SD,under18,1996,205780
SD,under18,1997,205978
NC,under18,2003,2060838
DE,under18,2008,206116
DE,under18,2009,206213
NM,total,2010,2064982
SD,under18,1992,206632
UT,total,1996,2067976
NJ,under18,2009,2068684
GA,under18,1998,2078998
SD,under18,2013,207959
SD,under18,1993,207975
NM,total,2012,2083540
SD,under18,1994,208443
NC,under18,2004,2085165
NM,total,2013,2085287
NJ,under18,2000,2088885
NJ,under18,2007,2091023
TX,total,2000,20944499
NV,total,2001,2098399
NJ,under18,2006,2106403
NJ,under18,2002,2116591
NC,under18,2005,2122485
NJ,under18,2003,2126014
GA,under18,1999,2130698
TX,total,2001,21319622
RI,under18,2012,216591
UT,total,1998,2165961
NC,under18,2006,2166393
TX,total,2002,21690325
NV,total,2002,2173791
GA,under18,2000,2176576
MT,under18,2005,221685
NC,under18,2007,2219168
MT,under18,2006,221930
MT,under18,2004,221999
MT,under18,2012,222905
MT,under18,2011,222977
MT,under18,2003,223012
MT,under18,2010,223292
MT,under18,2009,223675
MT,under18,1990,223677
MT,under18,2008,223814
TX,total,2004,22394023
MT,under18,2013,223981
UT,total,2000,2244502
MI,under18,2013,2245201
MT,under18,2002,224772
NV,total,2003,2248850
GA,under18,2002,2249784
NC,under18,2008,2252101
RI,under18,2009,225902
RI,under18,1990,225923
MT,under18,2001,227118
NC,under18,2009,2272955
TX,total,2005,22778123
GA,under18,2003,2278710
NC,under18,2010,2282288
NC,under18,2011,2284238
NC,under18,2013,2285605
RI,under18,1991,229448
RI,under18,2008,229798
MI,under18,2011,2299116
MT,under18,2000,230067
MT,under18,1992,230868
GA,under18,2004,2308855
MT,under18,1999,231133
MT,under18,1998,231746
UT,total,2002,2324815
RI,under18,1992,232630
MT,under18,1997,232813
MI,under18,2010,2333121
RI,under18,2007,233655
NV,total,2004,2346222
MT,under18,1993,234987
MT,under18,1996,235294
AR,total,1990,2356586
UT,total,2003,2360137
MT,under18,1995,236583
MI,under18,2009,2372603
MT,under18,1994,237289
AR,total,1991,2383144
TX,total,2007,23831983
UT,total,2004,2401580
RI,under18,1995,240553
RI,under18,1996,240569
GA,under18,2006,2406014
AR,total,1992,2415984
RI,under18,1998,241760
MI,under18,2008,2418879
RI,under18,2005,241932
TX,total,2008,24309039
GA,under18,2007,2456249
MI,under18,1990,2459633
RI,under18,2004,246228
RI,under18,1999,247014
GA,under18,2008,2479097
TX,total,2009,24801761
RI,under18,2000,248065
RI,under18,2003,248075
KS,total,1990,2481349
RI,under18,2001,248296
RI,under18,2002,248690
GA,under18,2012,2487831
GA,under18,2011,2488898
GA,under18,2013,2489709
AR,total,1994,2494019
KS,total,1991,2498722
MI,under18,2006,2503548
MI,under18,1993,2522249
NV,total,2006,2522658
TX,total,2010,25245178
UT,total,2006,2525507
USA,total,1991,252980942
MI,under18,2005,2531839
MI,under18,1994,2535196
AR,total,1995,2535399
MI,under18,2004,2553314
MI,under18,1995,2556799
TX,total,2011,25640909
USA,total,1992,256514231
MI,under18,1996,2569745
AR,total,1996,2572109
MS,total,1990,2578897
KS,total,1994,2580513
MI,under18,1997,2582270
MI,under18,1998,2586343
MI,under18,1999,2591944
MI,under18,2001,2593310
MI,under18,2000,2596114
UT,total,2007,2597746
MS,total,1991,2598733
USA,total,1993,259918595
KS,total,1995,2601008
NV,total,2007,2601072
AR,total,1997,2601091
TX,total,2012,26060796
ME,under18,2013,261276
KS,total,1996,2614554
MS,total,1992,2623734
AR,total,1998,2626289
USA,total,1994,263125826
KS,total,1997,2635292
TX,total,2013,26448193
ME,under18,2012,264846
AR,total,1999,2651860
NV,total,2008,2653630
MS,total,1993,2655100
KS,total,1998,2660598
UT,total,2008,2663029
OH,under18,2012,2668125
KS,total,1999,2678338
AR,total,2000,2678588
NV,total,2009,2684665
MS,total,1994,2688992
AR,total,2001,2691571
OH,under18,2011,2693469
KS,total,2000,2693681
USA,total,1996,269394291
NV,total,2010,2703230
AR,total,2002,2705927
KS,total,2002,2713535
PA,under18,2013,2715645
NV,total,2011,2717951
OH,under18,2010,2722589
MS,total,1995,2722659
AR,total,2003,2724816
USA,total,1997,272646932
KS,total,2004,2734373
PA,under18,2012,2737905
OH,under18,2009,2748051
AR,total,2004,2749686
NV,total,2012,2754354
NH,under18,2012,275818
USA,total,1998,275854116
PA,under18,2011,2761343
KS,total,2006,2762931
OH,under18,2008,2768968
NH,under18,1990,277454
MS,total,1997,2777004
OH,under18,1990,2778491
ME,under18,2009,277946
IA,total,1990,2781018
AR,total,2005,2781097
PA,under18,2010,2785316
NV,total,2013,2790136
OH,under18,2007,2790347
USA,total,1999,279040181
IA,total,1991,2797613
PA,under18,1990,2799168
HI,under18,1990,279983
OH,under18,2006,2804828
MS,total,1998,2804834
NH,under18,2011,280486
PA,under18,2009,2804929
OH,under18,1991,2806959
KS,total,2008,2808076
NH,under18,1991,281127
IA,total,1992,2818401
OH,under18,2005,2819794
USA,total,2000,282162411
AR,total,2006,2821761
ME,under18,2008,282204
MS,total,1999,2828408
PA,under18,1991,2830059
KS,total,2009,2832704
IA,total,1993,2836972
OH,under18,1992,2839356
PA,under18,2007,2839574
AR,total,2007,2848650
OH,under18,2003,2849573
IA,total,1994,2850746
PA,under18,2006,2850778
MS,total,2001,2852994
UT,total,2012,2854871
OH,under18,1993,2855785
NH,under18,2010,285702
MS,total,2002,2858681
PA,under18,2005,2859793
ME,under18,2007,286185
NH,under18,1992,286314
IA,total,1995,2867373
MS,total,2003,2868312
PA,under18,1992,2873013
PA,under18,2004,2873125
AR,total,2008,2874554
OH,under18,1994,2875397
USA,total,2002,287625193
OH,under18,2001,2878123
OH,under18,1995,2879930
IA,total,1996,2880001
PA,under18,2003,2883270
KS,total,2012,2885398
OH,under18,2000,2886585
MS,total,2004,2889010
ME,under18,2006,288945
IA,total,1997,2891119
OH,under18,1999,2893270
KS,total,2013,2893957
PA,under18,2002,2894935
OH,under18,1998,2896255
AR,total,2009,2896843
OH,under18,1997,2897375
UT,total,2013,2900872
IA,total,1998,2902872
NH,under18,1993,290409
PA,under18,2001,2905836
MS,total,2005,2905943
PA,under18,1993,2907351
NH,under18,2009,290850
IA,total,1999,2917634
PA,under18,2000,2918850
ME,under18,2005,292039
USA,total,2004,292805298
OR,total,1991,2928507
IA,total,2000,2929067
PA,under18,1999,2930193
IA,total,2001,2931997
PA,under18,1994,2932851
HI,under18,2002,293600
AR,total,2011,2938506
PA,under18,1998,2940285
IL,under18,1990,2940837
PA,under18,1995,2941531
IA,total,2003,2941999
PA,under18,1997,2942240
HI,under18,2003,294519
MS,total,2008,2947806
ME,under18,2004,294791
AR,total,2012,2949828
HI,under18,1992,295124
HI,under18,2000,295352
IA,total,2004,2953635
USA,total,2005,295516599
NH,under18,1994,295563
MS,total,2009,2958774
NH,under18,2008,296029
IA,total,2005,2964454
MS,total,2010,2970047
HI,under18,2004,298103
NH,under18,1995,298246
IA,total,2006,2982644
USA,total,2006,298379912
HI,under18,2005,298497
ME,under18,2002,298595
MS,total,2012,2986450
IL,under18,1991,2988715
FL,under18,1990,2988807
OR,total,1992,2991755
CA,total,1990,29959515
HI,under18,1999,299680
IA,total,2007,2999212
ME,under18,2001,300088
HI,under18,2007,300207
NH,under18,2007,300918
HI,under18,2008,301094
ME,under18,2000,301407
HI,under18,1993,301473
IA,total,2008,3016734
ME,under18,1999,302321
HI,under18,2009,302796
IA,total,2009,3032870
IL,under18,1992,3033427
HI,under18,2010,303812
USA,total,2008,304093966
ME,under18,1998,304496
FL,under18,1991,3045638
HI,under18,1998,304576
CA,total,1991,30470736
IA,total,2010,3050314
ME,under18,1997,305097
NH,under18,2006,305169
IL,under18,2012,3057042
HI,under18,2012,305981
OR,total,1993,3060367
IL,under18,1993,3066541
USA,total,2009,306771529
HI,under18,2013,307266
NH,under18,1998,307292
IA,total,2012,3075039
HI,under18,1994,307517
ME,under18,1996,307740
ME,under18,1990,308066
NH,under18,1999,308423
IL,under18,2011,3089833
ME,under18,1995,309173
NH,under18,2004,309243
USA,total,2010,309326295
CA,total,1992,30974659
ME,under18,1991,309871
HI,under18,1995,310325
NH,under18,2000,310352
ME,under18,1992,310679
ME,under18,1993,310966
IL,under18,1994,3110938
HI,under18,1996,311213
NH,under18,2003,311412
USA,total,2011,311582564
NH,under18,2001,311877
FL,under18,1992,3120439
OR,total,1994,3121264
IL,under18,2010,3122092
CA,total,1993,31274928
ID,under18,1990,313373
IL,under18,2009,3138406
IL,under18,1995,3152984
IL,under18,2008,3153401
ID,under18,1991,316732
CA,total,1995,31696582
IL,under18,2007,3170134
OK,total,1991,3175440
IL,under18,2006,3181246
OR,total,1995,3184369
IL,under18,1996,3192916
IL,under18,2005,3197318
CA,total,1996,32018834
IL,under18,2004,3211599
FL,under18,1993,3214066
OK,total,1992,3220517
IL,under18,1997,3222114
IL,under18,1998,3225252
IL,under18,2003,3225547
IL,under18,2002,3238362
IL,under18,1999,3240034
OR,total,1996,3247111
CA,total,1997,32486010
ID,under18,1992,324972
NV,under18,1991,325033
OK,total,1993,3252285
OK,total,1994,3280940
CT,total,1990,3291967
CA,total,1998,32987675
FL,under18,1994,3299887
CT,total,1991,3302895
OR,total,1997,3304310
OK,total,1995,3308208
CT,total,1993,3309175
CT,total,1996,3336685
ID,under18,1993,333838
OR,total,1998,3352449
CT,total,1998,3365352
FL,under18,1995,3366468
OK,total,1997,3372918
NV,under18,1992,337396
CT,total,1999,3386401
CO,total,1991,3387119
OR,total,1999,3393941
CA,total,2000,33987977
OK,total,1998,3405194
CT,total,2000,3411777
OR,total,2000,3429708
FL,under18,1996,3431695
CT,total,2001,3432835
ID,under18,1994,344242
CA,total,2001,34479458
OK,total,2000,3454365
CT,total,2002,3458749
OK,total,2001,3467100
OR,total,2001,3467937
CA,total,2002,34871843
ID,under18,1995,349248
CO,total,1992,3495939
CT,total,2004,3496094
FL,under18,1997,3502269
OK,total,2003,3504892
CT,total,2005,3506956
OR,total,2002,3513424
CT,total,2006,3517460
OK,total,2004,3525233
CA,total,2003,35253159
CT,total,2007,3527270
ID,under18,1996,353824
CT,total,2008,3545579
OR,total,2003,3547376
OK,total,2005,3548597
NV,under18,1993,354990
CA,total,2004,35574576
FL,under18,1998,3557561
SC,total,1991,3570404
ID,under18,1997,357779
CA,total,2005,35827943
CT,total,2011,3588948
OK,total,2006,3594090
CT,total,2013,3596080
CA,total,2006,36021202
FL,under18,1999,3611711
CO,total,1993,3613734
PR,total,2013,3615086
SC,total,1992,3620464
ID,under18,1998,362189
CA,total,2007,36250311
OK,total,2007,3634349
FL,under18,2000,3654880
SC,total,1993,3663314
OK,total,2008,3668976
OR,total,2006,3670883
AZ,total,1990,3684097
PR,total,2011,3686580
